Country,Region,Year,Life_Expectancy,Infant_Mortality_Rate,Adult_Mortality_Rate,Health_Expenditure_Per_Capita_USD,GDP_Per_Capita_USD,Population_Millions,Happiness_Score
India,South-East Asia,2022,69.7,27.1,211,73,2389,1417,3.8
China,Western Pacific,2022,78.2,6.8,107,535,12720,1412,5.6
United States,Americas,2022,77.5,5.4,145,11200,76398,333,6.9
Brazil,Americas,2022,75.9,12.9,172,853,10145,215,6.1
Germany,Europe,2022,81.1,3.1,89,6100,48750,83,7.0
United Kingdom,Europe,2022,80.7,3.9,96,5200,46300,67,6.8
Japan,Western Pacific,2022,84.6,1.8,67,4500,40100,125,6.0
Nigeria,Africa,2022,54.3,54.7,341,85,2400,227,4.4
South Africa,Africa,2022,62.8,24.1,259,526,6760,60,5.2
Australia,Western Pacific,2022,83.0,3.0,73,5700,55000,26,7.1
Canada,Americas,2022,82.2,4.5,80,5200,53400,39,7.0
France,Europe,2022,82.5,3.5,92,5100,44500,65,6.6
Indonesia,South-East Asia,2022,71.1,21.4,198,155,4780,276,5.3
Bangladesh,South-East Asia,2022,72.6,24.6,173,42,2820,173,4.8
Mexico,Americas,2022,75.0,12.1,190,540,10800,129,6.0
